iupac,smiles,expt,calc,inchi,selfies,iupac_name,expt_cat,target_2,target_5
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",CN(CC(F)(F)F)c1ccccc1,-1.92,-3.964,"InChI=1S/C9H10F3N/c1-13(7-9(10,11)12)8-5-3-2-4-6-8/h2-6H,7H2,1H3",[C][N][Branch1][#Branch2][C][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=C][Ring1][=Branch1],"n-methyl-n-(2,2,2-trifluoroethyl)aniline",very large,1,3
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1,-1.156,"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H/t1-/m0/s1",[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][#Branch1][O][C][Branch1][C][F][F][Cl],"(2r)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",very large,1,4
"hexa-1,5-diene",C=CCCC=C,1.01,2.487,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",[C][=C][C][C][C][=C],"hexa-1,5-diene",very large,1,4
m-xylene,Cc1cccc(c1)C,-0.83,-0.697,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],"1,3-dimethylbenzene",very large,1,3
methyl acetate,CC(=O)OC,-3.13,-3.83,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,[C][C][=Branch1][C][=O][O][C],methyl acetate,large,1,2
trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC,-4.04,-5.559,"InChI=1S/C10H14O3/c1-11-10(12-2,13-3)9-7-5-4-6-8-9/h4-8H,1-3H3",[C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][Ring1][O][C][O][C],trimethoxymethylbenzene,large,0,2
ethyl benzoate,CCOC(=O)c1ccccc1,-3.64,-4.597,"InChI=1S/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],ethyl benzoate,large,0,2
propanethiol,CCCS,-1.1,-0.182,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",[C][C][C][S],propane-1-thiol,very large,1,3
heptan-2-one,CCCCCC(=O)C,-3.04,-2.945,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",[C][C][C][C][C][C][=Branch1][C][=O][C],heptan-2-one,large,1,2
carbofuran,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61,-11.126,"InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)",[C][C][Branch2][Ring1][=Branch1][C][C][=C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][=Branch2][O][C][=Branch1][C][=O][N][C][C],"(2,2-dimethyl-3h-1-benzofuran-7-yl) n-methylcarbamate",medium,0,0
ethyl hexanoate,CCCCCC(=O)OCC,-2.23,-2.929,"InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3",[C][C][C][C][C][C][=Branch1][C][=O][O][C][C],ethyl hexanoate,very large,1,3
1-methoxypropane,CCCOC,-1.66,-0.598,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",[C][C][C][O][C],1-methoxypropane,very large,1,3
4-methylmorpholine,CN1CCOCC1,-6.32,-5.774,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",[C][N][C][C][O][C][C][Ring1][=Branch1],4-methylmorpholine,large,0,0
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,-0.705,InChI=1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-11(17)8(15)4-9(16)12(10)18/h1-4H,[C][=C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",large,0,1
propylbenzene,CCCc1ccccc1,-0.53,-0.511,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],propylbenzene,very large,1,4
caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,-17.621,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",[C][N][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring1][Branch2][C][C],"1,3,7-trimethylpurine-2,6-dione",medium,0,0
N-methylmethanamine,CNC,-4.29,-2.991,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",[C][N][C],n-methylmethanamine,large,0,2
"1,1,2,3,3,3-hexafluoroprop-1-ene",C(=C(F)F)(C(F)(F)F)F,2.93,2.305,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",[C][=Branch1][=Branch1][=C][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][F],"1,1,2,3,3,3-hexafluoroprop-1-ene",very large,1,4
4-chlorophenol,c1cc(ccc1O)Cl,-7.03,-5.373,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Cl],4-chlorophenol,large,0,0
piperidine,C1CCNCC1,-5.11,-3.873,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",[C][C][C][N][C][C][Ring1][=Branch1],piperidine,large,0,1
phenanthrene,c1ccc2c(c1)ccc3c2cccc3,-3.88,-5.264,InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1],phenanthrene,large,0,2
iodomethane,CI,-0.89,-0.641,InChI=1S/CH3I/c1-2/h1H3,[C][I],iodomethane,very large,1,3
"3,5-dichloro-2,6-dimethoxyphenol",COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,-5.98,"InChI=1S/C8H8Cl2O3/c1-12-7-4(9)3-5(10)8(13-2)6(7)11/h3,11H,1-2H3",[C][O][C][=C][Branch1][#C][C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][Cl],"3,5-dichloro-2,6-dimethoxyphenol",large,0,0
"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,-0.78,1.024,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,[C][=Branch1][Ring1][=C][/Cl][\Cl],"1,2-dichloroethene
(e)-1,2-dichloroethene",very large,1,4
n-pentane,CCCCC,2.3,2.673,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",[C][C][C][C][C],pentane,very large,1,4
2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.04,-5.495,"InChI=1S/C8H12N2/c1-7(2)5-8-6-9-3-4-10-8/h3-4,6-7H,5H2,1-2H3",[C][C][Branch1][C][C][C][C][=C][N][=C][C][=N][Ring1][=Branch1],2-(2-methylpropyl)pyrazine,large,0,1
"1,4-dichloro-2-phenyl-benzene",c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-1.903,InChI=1S/C12H8Cl2/c13-10-6-7-12(14)11(8-10)9-4-2-1-3-5-9/h1-8H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl],"1,4-dichloro-2-phenylbenzene",large,1,3
"1,2,3,4-tetrachloro-5-phenyl-benzene",c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,-1.31,InChI=1S/C12H6Cl4/c13-9-6-8(7-4-2-1-3-5-7)10(14)12(16)11(9)15/h1-6H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],"1,2,3,4-tetrachloro-5-phenylbenzene",large,1,2
"2,3-dimethylpentane",CC[C@@H](C)C(C)C,2.52,2.625,"InChI=1S/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3/t7-/m1/s1",[C][C][C@@H1][Branch1][C][C][C][Branch1][C][C][C],"(3r)-2,3-dimethylpentane",very large,1,4
4-methylpentan-2-ol,C[C@H](CC(C)C)O,-3.73,-2.907,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3/t6-/m1/s1",[C][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][O],(2r)-4-methylpentan-2-ol,large,0,2
tetrahydropyran,C1CCOCC1,-3.12,-1.809,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,[C][C][C][O][C][C][Ring1][=Branch1],"oxane
2,3,4,5-tetrahydropyran",large,1,2
cyclopropane,C1CC1,0.75,2.485,InChI=1S/C3H6/c1-2-3-1/h1-3H2,[C][C][C][Ring1][Ring1],cyclopropane,very large,1,4
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,-0.822,InChI=1S/C12H3Cl7/c13-6-1-4(2-7(14)10(6)17)5-3-8(15)11(18)12(19)9(5)16/h1-3H,[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",large,1,2
"1,1-dichloroethylene",C=C(Cl)Cl,0.25,1.108,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,[C][=C][Branch1][C][Cl][Cl],"1,1-dichloroethene",very large,1,4
2-methylpropan-1-ol,CC(C)CO,-4.5,-3.13,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",[C][C][Branch1][C][C][C][O],2-methylpropan-1-ol,large,0,1
propyl propanoate,CCCOC(=O)CC,-2.44,-2.453,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3",[C][C][C][O][C][=Branch1][C][=O][C][C],propyl propanoate,large,1,3
hexachloroethane,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,0.885,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][Branch1][C][Cl][Branch1][C][Cl][Cl],"1,1,1,2,2,2-hexachloroethane",very large,1,4
methylsulfanylbenzene,CSc1ccccc1,-2.73,-1.325,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",[C][S][C][=C][C][=C][C][=C][Ring1][=Branch1],methylsulfanylbenzene,large,1,2
2-ethylphenol,CCc1ccccc1O,-5.66,-4.768,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3",[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],2-ethylphenol,large,0,1
2-chloro-2-methyl-propane,CC(C)(C)Cl,1.09,0.826,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3",[C][C][Branch1][C][C][Branch1][C][C][Cl],2-chloro-2-methylpropane,very large,1,4
isoprene,CC(=C)C=C,0.68,1.824,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",[C][C][=Branch1][C][=C][C][=C],"2-methylbuta-1,3-diene",very large,1,4
1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68,-0.456,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],1-methyl-4-propan-2-ylbenzene,very large,1,4
1-methylimidazole,Cn1ccnc1,-8.41,-6.282,"InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3",[C][N][C][=C][N][=C][Ring1][Branch1],1-methylimidazole,medium,0,0
ethylene glycol,C(CO)O,-9.3,-7.266,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",[C][Branch1][Ring1][C][O][O],"ethane-1,2-diol",medium,0,0
"1,2-dichlorobenzene",c1ccc(c(c1)Cl)Cl,-1.36,-0.553,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],"1,2-dichlorobenzene",very large,1,3
6-chlorouracil,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,-15.128,"InChI=1S/C4H3ClN2O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H2,6,7,8,9)",[C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][C][=Ring1][Branch2][Cl],"6-chloro-1h-pyrimidine-2,4-dione",small,0,0
propyl formate,CCCOC=O,-2.48,-3.699,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3",[C][C][C][O][C][=O],propyl formate,large,1,3
2-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,-4.054,InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][O][Ring1][O][Cl],2-chlorooxanthrene,large,1,2
hexanoic acid,CCCCCC(=O)O,-6.21,-7.878,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",[C][C][C][C][C][C][=Branch1][C][=O][O],hexanoic acid,large,0,1
diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,-8.683,"InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3",[C][C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][C],diethyl butanedioate,large,0,1
"2,4-dimethylpyridine",Cc1ccnc(c1)C,-4.86,-3.282,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",[C][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],"2,4-dimethylpyridine",large,0,1
cyclohexene,C1CCC=CC1,0.14,1.175,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",[C][C][C][C][=C][C][Ring1][=Branch1],cyclohexene,very large,1,4
"1,4-dimethylpiperazine",CN1CCN(CC1)C,-7.58,-7.874,"InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3",[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C],"1,4-dimethylpiperazine",large,0,0
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,-1.083,InChI=1S/C12H4Cl6/c13-7-2-1-5(3-8(7)14)6-4-9(15)11(17)12(18)10(6)16/h1-4H,[C][=C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",large,1,2
quinone,C1=CC(=O)C=CC1=O,-6.5,-6.96,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,[C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][=O],"cyclohexa-2,5-diene-1,4-dione",large,0,0
methyl 2-chloroacetate,COC(=O)CCl,-4.0,-3.816,"InChI=1S/C3H5ClO2/c1-6-3(5)2-4/h2H2,1H3",[C][O][C][=Branch1][C][=O][C][Cl],methyl 2-chloroacetate,large,0,2
butanal,CCCC=O,-3.18,-3.044,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",[C][C][C][C][=O],butanal,large,1,2
ethylbenzene,CCc1ccccc1,-0.79,-0.606,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],ethylbenzene,very large,1,4
"1,1,2-trichloroethylene",C(=C(Cl)Cl)Cl,-0.44,0.818,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,[C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Cl],"1,1,2-trichloroethene",very large,1,4
"N,N-diethylethanamine",CCN(CC)CC,-3.22,-1.955,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",[C][C][N][Branch1][Ring1][C][C][C][C],"n,n-diethylethanamine",large,1,2
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,-2.31,InChI=1S/C12H3Cl5O2/c13-4-1-2-5-6(3-4)19-12-10(17)8(15)7(14)9(16)11(12)18-5/h1-3H,[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][O][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][Ring1][P],"1,2,3,4,7-pentachlorooxanthrene",large,0,2
"3,4-dimethylpyridine",Cc1ccncc1C,-5.22,-3.201,"InChI=1S/C7H9N/c1-6-3-4-8-5-7(6)2/h3-5H,1-2H3",[C][C][=C][C][=N][C][=C][Ring1][=Branch1][C],"3,4-dimethylpyridine",large,0,1
cyanuric acid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-21.762,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",[C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][=Branch2],"1,3,5-triazinane-2,4,6-trione",small,0,0
benzaldehyde,c1ccc(cc1)C=O,-4.02,-5.058,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],benzaldehyde,large,0,2
2-chloropyridine,c1ccnc(c1)Cl,-4.39,-3.873,InChI=1S/C5H4ClN/c6-5-3-1-2-4-7-5/h1-4H,[C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl],2-chloropyridine,large,0,1
1-(p-tolyl)ethanone,Cc1ccc(cc1)C(=O)C,-4.7,-4.91,"InChI=1S/C9H10O/c1-7-3-5-9(6-4-7)8(2)10/h3-6H,1-2H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C],1-(4-methylphenyl)ethanone,large,0,1
formaldehyde,C=O,-2.75,-3.155,InChI=1S/CH2O/c1-2/h1H2,[C][=O],formaldehyde,large,1,2
1-chloro-2-methyl-benzene,Cc1ccccc1Cl,-1.14,-0.473,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],1-chloro-2-methylbenzene,very large,1,3
1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-9.8,-7.831,"InChI=1S/C6H11NO/c1-6(8)7-4-2-3-5-7/h2-5H2,1H3",[C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1],1-pyrrolidin-1-ylethanone,medium,0,0
"1,1,1-trimethoxyethane",CC(OC)(OC)OC,-4.42,-3.7,"InChI=1S/C5H12O3/c1-5(6-2,7-3)8-4/h1-4H3",[C][C][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],"1,1,1-trimethoxyethane",large,0,1
butylbenzene,CCCCc1ccccc1,-0.4,-0.227,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],butylbenzene,very large,1,4
"N,N-dimethylaniline",CN(C)c1ccccc1,-3.45,-4.426,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"n,n-dimethylaniline",large,1,2
2-methoxypropane,CC(C)OC,-2.01,-0.657,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",[C][C][Branch1][C][C][O][C],2-methoxypropane,very large,1,3
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,-1.147,InChI=1S/C12Cl8O2/c13-1-2(14)6(18)10-9(5(1)17)21-11-7(19)3(15)4(16)8(20)12(11)22-10,[C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][Ring2][Ring1][=Branch1],"1,2,3,4,6,7,8,9-octachlorooxanthrene",large,0,1
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,0.76,InChI=1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,[C][=Branch2][Ring1][Branch1][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl],"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",large,1,2
"1,1,2-trichloroethane",C(C(Cl)Cl)Cl,-1.99,-0.384,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",[C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Cl],"1,1,2-trichloroethane",very large,1,3
N-methylaniline,CNc1ccccc1,-4.69,-5.719,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",[C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],n-methylaniline,large,0,1
isopropyl acetate,CC(C)OC(=O)C,-2.64,-3.371,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C],propan-2-yl acetate,large,1,3
benzene,c1ccccc1,-0.9,-0.806,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,[C][=C][C][=C][C][=C][Ring1][=Branch1],benzene,very large,1,3
"1,2,3-trichlorobenzene",c1cc(c(c(c1)Cl)Cl)Cl,-1.24,-0.51,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Cl],"1,2,3-trichlorobenzene",very large,1,3
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,-7.024,"InChI=1S/C11H16ClO2PS3/c1-3-13-15(16,14-4-2)18-9-17-11-7-5-10(12)6-8-11/h5-8H,3-4,9H2,1-2H3",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],(4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-sulfanylidenephosphorane,large,0,0
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,-14.106,"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][S][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=N][Ring1][O],"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",medium,0,0
"1,2,4-trichlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,-3.16,InChI=1S/C12H5Cl3O2/c13-6-5-7(14)11-12(10(6)15)17-9-4-2-1-3-8(9)16-11/h1-5H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][Branch1][S][C][=C][Branch1][O][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][O][Cl][Cl][Cl],"1,2,4-trichlorooxanthrene",large,0,2
"2,3-dimethylbuta-1,3-diene",CC(=C)C(=C)C,0.4,1.862,"InChI=1S/C6H10/c1-5(2)6(3)4/h1,3H2,2,4H3",[C][C][=Branch1][C][=C][C][=Branch1][C][=C][C],"2,3-dimethylbuta-1,3-diene",very large,1,4
hex-1-ene,CCCCC=C,1.58,2.628,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",[C][C][C][C][C][=C],hex-1-ene,very large,1,4
hydrogen sulfide,S,-0.7,-1.135,InChI=1S/H2S/h1H2,[S],hydrogen sulfide,very large,1,4
ethoxyethane,CCOCC,-1.59,-0.617,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",[C][C][O][C][C],ethoxyethane,very large,1,3
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNc1nc(nc(n1)SC)NC(C)C,-7.65,-10.552,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6H,5H2,1-4H3,(H2,10,11,12,13,14)",[C][C][N][C][=N][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][S][C][N][C][Branch1][C][C][C],"n'-ethyl-6-methylsulfanyl-n-propan-2-yl-1,3,5-triazine-2,4-diamine",large,0,0
